iter	RMSE
0	363.5159453
1	352.2079858
2	341.8869553
3	332.1312002
4	321.740549
5	313.4425167
6	304.4596059
7	296.4976996
8	287.5545885
9	278.827384
10	270.9984734
11	262.6515693
12	254.9093585
13	247.567228
14	240.700951
15	234.0050113
16	227.9624881
17	222.8727594
18	216.6460609
19	211.1371563
20	205.8935403
21	200.6359602
22	195.6357067
23	190.7494413
24	185.464165
25	179.6362439
26	175.1637503
27	171.3171616
28	166.4833773
29	162.1745192
30	157.3955953
31	153.4865935
32	149.4428198
33	145.7613784
34	141.9545939
35	137.705899
36	134.311997
37	131.3476298
38	127.9778657
39	124.6360451
40	121.8612154
41	118.8050778
42	116.4913372
43	113.4881913
44	110.8250843
45	108.6408129
46	106.3689056
47	103.9153072
48	101.5009886
49	99.25571487
50	96.77356353
51	94.49896436
52	92.35070713
53	90.28971306
54	88.26861046
55	86.14691731
56	83.86365895
57	82.09440749
58	80.36604003
59	78.44977636
60	77.08238504
61	75.25808002
62	73.72140911
63	72.34801359
64	71.03949471
65	69.41379195
66	68.23035972
67	67.10491133
68	65.85617856
69	64.5314725
70	63.31904314
71	61.96063123
72	60.84437712
73	59.66409741
74	58.48183239
75	57.17392847
76	56.01849703
77	54.96580309
78	54.22840192
79	53.29290732
80	52.34786738
81	51.31593262
82	50.46099471
83	49.59393225
84	48.57819483
85	47.89133549
86	47.17051494
87	46.36095399
88	45.50164859
89	44.85902755
90	44.12935423
91	43.38734352
92	42.73990314
93	42.09850223
94	41.57064169
95	40.91735121
96	40.29721601
97	39.71881573
98	39.05799545
99	38.51112603
100	38.04458049
101	37.60322557
102	37.19326226
103	36.72758309
104	36.22195308
105	35.74751928
106	35.30678926
107	34.85566424
108	34.45387907
109	34.01952094
110	33.6080266
111	33.33910191
112	33.00437893
113	32.68510812
114	32.3450865
115	32.06653738
116	31.76517125
117	31.47205716
118	31.1145867
119	30.82191427
120	30.50170851
121	30.25362093
122	29.94932221
123	29.70154893
124	29.43291726
125	29.18174762
126	28.94125851
127	28.61368144
128	28.33693869
129	28.02055719
130	27.76854703
131	27.51341745
132	27.21014692
133	27.03936983
134	26.85110713
135	26.64448201
136	26.44475649
137	26.22380592
138	26.02456986
139	25.84585845
140	25.66223472
141	25.46878609
142	25.22084176
143	25.06135218
144	24.93651621
145	24.75465851
146	24.57558407
147	24.41555481
148	24.24259547
149	24.01519888
150	23.86547427
151	23.69148585
152	23.4913519
153	23.33823967
154	23.15072772
155	23.05032873
156	22.91140277
157	22.78506999
158	22.67289907
159	22.55409628
160	22.38313845
161	22.30317714
162	22.1407733
163	22.03949346
164	21.92857473
165	21.82515333
166	21.7078477
167	21.50969115
168	21.43750261
169	21.33469373
170	21.2092058
171	21.12307765
172	21.01525989
173	20.90331982
174	20.81733207
175	20.7433721
176	20.68479655
177	20.56600879
178	20.48915047
179	20.33473427
180	20.267623
181	20.16121685
182	20.00070904
183	19.84858867
184	19.76244946
185	19.69858329
186	19.63783384
187	19.56110419
188	19.48690985
189	19.41732641
190	19.34212408
191	19.29455796
192	19.21280203
193	19.12449988
194	19.07431279
195	19.02260658
196	18.92908691
197	18.88400936
198	18.84876694
199	18.80685712
200	18.75970407
201	18.65888749
202	18.52292056
203	18.4892655
204	18.44685242
205	18.39956721
206	18.36054209
207	18.24894949
208	18.17648298
209	18.06933249
210	18.0382559
211	18.00915232
212	17.9730785
213	17.94709795
214	17.81656022
215	17.70635966
216	17.60300813
217	17.51647715
218	17.40645817
219	17.36268128
220	17.33900377
221	17.28007063
222	17.25848405
223	17.13731473
224	17.10065279
225	17.0462447
226	17.00907412
227	16.9822153
228	16.94120086
229	16.84645625
230	16.73659085
231	16.71550547
232	16.61228275
233	16.53333116
234	16.41662907
235	16.34431606
236	16.27136281
237	16.17850415
238	16.07764143
239	16.05519326
240	16.01452507
241	15.91777046
242	15.8513474
243	15.76666615
244	15.6975137
245	15.65259874
246	15.54358456
247	15.47360755
248	15.4400973
249	15.34197517
250	15.22229494
251	15.14721959
252	15.09450921
253	15.04317511
254	14.97719373
255	14.92143197
256	14.82416468
257	14.74726957
258	14.6302364
259	14.57752233
260	14.5238648
261	14.48949763
262	14.3955584
263	14.28944039
264	14.18981794
265	14.1166048
266	14.07434574
267	13.99678037
268	13.91979728
269	13.89012065
270	13.82362904
271	13.73867274
272	13.65742341
273	13.60997873
274	13.55564305
275	13.47780826
276	13.41238479
277	13.33180011
278	13.27376785
279	13.18537247
280	13.12261913
281	13.02443131
282	12.99274474
283	12.94492558
284	12.87632395
285	12.815763
286	12.7926957
287	12.77502007
288	12.71920618
289	12.69876337
290	12.65444054
291	12.61145548
292	12.54905201
293	12.53256439
294	12.5135979
295	12.46287798
296	12.37335192
297	12.29232825
298	12.20562331
299	12.1137153
